Generation,Chromosome,PAR Value
0,chromosome_0_4_field_cropped.obj,20734.4
1,chromosome_1_10_field_cropped.obj,20997.7
2,chromosome_2_10_field_cropped.obj,20911.6
3,chromosome_3_15_field_cropped.obj,21632.2
4,chromosome_4_22_field_cropped.obj,21468.8
5,chromosome_5_11_field_cropped.obj,22190.9
6,chromosome_6_15_field_cropped.obj,21719.3
7,chromosome_7_26_field_cropped.obj,22011.6
8,chromosome_8_24_field_cropped.obj,22060.7
9,chromosome_9_30_field_cropped.obj,22857.8
10,chromosome_10_11_field_cropped.obj,23471.4
11,chromosome_11_10_field_cropped.obj,23072.1
12,chromosome_12_11_field_cropped.obj,23202.8
13,chromosome_13_20_field_cropped.obj,24040.4
14,chromosome_14_11_field_cropped.obj,23639.5
15,chromosome_15_20_field_cropped.obj,23630.9
16,chromosome_16_46_field_cropped.obj,23788.7
17,chromosome_17_20_field_cropped.obj,23937.6
18,chromosome_18_16_field_cropped.obj,24215.7
19,chromosome_19_12_field_cropped.obj,24304.4
20,chromosome_20_15_field_cropped.obj,24090.4
21,chromosome_21_20_field_cropped.obj,24256.7
22,chromosome_22_37_field_cropped.obj,24536.7
23,chromosome_23_20_field_cropped.obj,24504.6
24,chromosome_24_34_field_cropped.obj,24815.1
25,chromosome_25_14_field_cropped.obj,24621.8
26,chromosome_26_23_field_cropped.obj,24698.4
27,chromosome_27_49_field_cropped.obj,24666.0
28,chromosome_28_34_field_cropped.obj,24952.6
29,chromosome_29_10_field_cropped.obj,24742.9
30,chromosome_30_44_field_cropped.obj,24916.8
31,chromosome_31_35_field_cropped.obj,24734.6
32,chromosome_32_26_field_cropped.obj,24851.4
33,chromosome_33_38_field_cropped.obj,25036.6
34,chromosome_34_11_field_cropped.obj,25190.0
35,chromosome_35_12_field_cropped.obj,24991.0
36,chromosome_36_13_field_cropped.obj,25233.3
37,chromosome_37_45_field_cropped.obj,25134.9
38,chromosome_38_56_field_cropped.obj,25144.1
39,chromosome_39_10_field_cropped.obj,25168.6
40,chromosome_40_16_field_cropped.obj,25317.3
41,chromosome_41_20_field_cropped.obj,25306.4
42,chromosome_42_81_field_cropped.obj,25211.5
43,chromosome_43_28_field_cropped.obj,25482.8
44,chromosome_44_54_field_cropped.obj,25266.2
45,chromosome_45_16_field_cropped.obj,25462.4
46,chromosome_46_11_field_cropped.obj,25517.8
47,chromosome_47_31_field_cropped.obj,25322.3
48,chromosome_48_56_field_cropped.obj,25432.3
49,chromosome_49_51_field_cropped.obj,25378.0
50,chromosome_50_15_field_cropped.obj,25345.6
51,chromosome_51_10_field_cropped.obj,25403.0
52,chromosome_52_19_field_cropped.obj,25544.2
53,chromosome_53_19_field_cropped.obj,25440.1
54,chromosome_54_17_field_cropped.obj,25477.9
55,chromosome_55_38_field_cropped.obj,25458.2
56,chromosome_56_17_field_cropped.obj,25478.9
57,chromosome_57_14_field_cropped.obj,25499.6
58,chromosome_58_84_field_cropped.obj,25403.0
59,chromosome_59_43_field_cropped.obj,25585.3
60,chromosome_60_27_field_cropped.obj,25537.8
61,chromosome_61_16_field_cropped.obj,25612.2
62,chromosome_62_45_field_cropped.obj,25585.9
63,chromosome_63_23_field_cropped.obj,25580.4
64,chromosome_64_13_field_cropped.obj,25491.8
65,chromosome_65_15_field_cropped.obj,25573.9
66,chromosome_66_29_field_cropped.obj,25518.2
67,chromosome_67_39_field_cropped.obj,25538.4
68,chromosome_68_19_field_cropped.obj,25689.1
69,chromosome_69_76_field_cropped.obj,25547.0
70,chromosome_70_91_field_cropped.obj,25614.9
71,chromosome_71_17_field_cropped.obj,25546.1
72,chromosome_72_33_field_cropped.obj,25579.9
73,chromosome_73_32_field_cropped.obj,25646.7
74,chromosome_74_11_field_cropped.obj,25690.1
75,chromosome_75_47_field_cropped.obj,25716.9
76,chromosome_76_12_field_cropped.obj,25594.7
77,chromosome_77_28_field_cropped.obj,25591.7
78,chromosome_78_52_field_cropped.obj,25706.6
79,chromosome_79_72_field_cropped.obj,25578.1
80,chromosome_80_49_field_cropped.obj,25666.9
81,chromosome_81_58_field_cropped.obj,25629.0
82,chromosome_82_85_field_cropped.obj,25651.4
83,chromosome_83_76_field_cropped.obj,25675.0
84,chromosome_84_16_field_cropped.obj,25663.4
85,chromosome_85_14_field_cropped.obj,25706.4
86,chromosome_86_72_field_cropped.obj,25734.9
87,chromosome_87_92_field_cropped.obj,25799.0
88,chromosome_88_22_field_cropped.obj,25796.0
89,chromosome_89_38_field_cropped.obj,25772.9
90,chromosome_90_30_field_cropped.obj,25725.5
91,chromosome_91_41_field_cropped.obj,25739.2
92,chromosome_92_63_field_cropped.obj,25674.2
93,chromosome_93_62_field_cropped.obj,25695.9
94,chromosome_94_24_field_cropped.obj,25890.9
95,chromosome_95_15_field_cropped.obj,25916.8
96,chromosome_96_14_field_cropped.obj,25834.9
97,chromosome_97_10_field_cropped.obj,25798.5
98,chromosome_98_33_field_cropped.obj,25760.1
99,chromosome_99_11_field_cropped.obj,25862.4
100,chromosome_100_41_field_cropped.obj,25736.8
